period,sales.kg,year,month,day,week,quincena,price,wd,wpd,Variants,TRPs,adstocks,trend1,trend2,y2002
51,1043.851,2002,12,22,51,0,24.6760333649711,6625.89710743773,1037.96234251865,98,324.94,8372.6996758054,51,3.95124371858143,98
52,850.63,2002,12,29,52,0,24.8108705151298,6530.36925087243,864.510375800268,98,163.9,7699.32970822486,52,3.97029191355212,98
53,978.652,2003,1,5,1,1,24.6146951451123,6523.20393531369,833.0058251816,98,0,6929.39673740238,53,3.98898404656427,98
54,1030.837,2003,1,12,2,0,24.7239438516739,6570.92252847855,1216.46564261629,98,190.13,6426.58706366214,54,4.00733318523247,98
55,1172.393,2003,1,19,3,1,24.7543093429209,6569.2928724426,1286.70268519992,98,656.18,6440.10835729593,55,4.02535169073515,98
56,1004.563,2003,1,26,4,0,24.8887380653513,6573.15658497307,1168.99078596457,97,776.1,6572.19752156634,56,4.04305126783455,97
57,1220.901,2003,2,2,5,1,24.8323596907612,6583.1672794102,1352.29213649213,97,738.37,6653.3477694097,57,4.06044301054642,97
58,1154.947,2003,2,9,6,0,24.8836532268099,6563.39824756968,1270.89742237476,97,762.27,6750.28299246873,58,4.07753744390572,97
59,1130.629,2003,2,16,7,1,24.9979182711969,6527.64234862437,1233.06335247919,96,846.09,6921.34469322186,59,4.0943445622221,96
60,1089.419,2003,2,23,8,0,25.0349312331527,6528.84120396806,1111.0973685984,97,1022.76,7251.97022389967,60,4.11087386417331,97
61,1225.007,2003,3,2,9,1,24.8954575416945,6558.39344595537,1257.21073203781,97,1005.32,7532.09320150971,61,4.12713438504509,97
62,1173.199,2003,3,9,10,0,24.5302180431748,6501.23903872122,1039.04703300359,97,679.06,7457.94388135874,62,4.14313472639153,97
63,1180.962,2003,3,16,11,1,25.035071417568,6497.26589606799,931.763399871126,97,795.08,7507.22949322286,63,4.15888308335967,97
64,1052.103,2003,3,23,12,0,24.9414130041143,6471.23488428877,1168.27662243608,97,792.34,7548.84654390058,64,4.17438726989564,97
65,1170.298,2003,3,30,13,1,24.8595343149215,6463.37324173487,1535.34741415387,97,829.97,7623.93188951052,65,4.18965474202643,97
66,1255.105,2003,4,6,14,0,24.6889744438048,6456.29907609961,1195.17750181969,99,933.2,7794.73870055947,66,4.20469261939097,99
67,1017.6,2003,4,13,15,0,24.8597000786674,6390.32402811894,872.036051471759,100,685.9,7701.16483050352,67,4.21950770517611,100
68,1102.01,2003,4,20,16,1,24.9551523267698,6461.40753111603,785.080130110654,101,611.36,7542.40834745317,68,4.23410650459726,101
69,1089.804,2003,4,27,17,0,24.8115212574917,6480.55362299715,1192.13790195865,102,818.51,7606.67751270785,69,4.24849524204936,102
